Week,Location,Daily.Rainfall.Total.mm,Mean.Temperature.C,Mean.Wind.Speed.kmh,Cases
19,Macritchie Reservoir,6.314285714,NA,NA,0
19,Mandai,5,NA,NA,0
19,Marina Barrage,0.857142857,30.21428571,5.414285714,0
19,Marine Parade,0.171428571,NA,NA,1
19,Newton,0.628571429,29.12857143,9.342857143,0
19,Nicoll Highway,0.942857143,NA,NA,0
19,Pasir Panjang,0.285714286,29.95714286,9.371428571,0
19,Pasir Ris (Central),0.685714286,NA,NA,0
19,Pasir Ris (West),0.285714286,NA,NA,0
19,Paya Lebar,9.071428571,30.08571429,10.18571429,0
19,Pulau Ubin,0.314285714,28.91428571,14.9,0
20,Jurong (West),6.657142857,27.07142857,5.385714286,20
20,Jurong Island,11.85714286,28.15714286,6.485714286,0
20,Jurong Pier,16.37142857,NA,NA,0
20,Kent Ridge,8.428571429,NA,NA,0
20,Khatib,15.6,27.13333333,3.25,0
20,Kranji Reservoir,20.94285714,NA,NA,0
20,Lim Chu Kang,26.8,NA,NA,0
20,Lower Peirce Reservoir,14.8,NA,NA,0
20,Macritchie Reservoir,7.342857143,NA,NA,0
20,Mandai,8.542857143,NA,NA,0
20,Marina Barrage,4.4,29.08,4.26,0
20,Marine Parade,5.685714286,NA,NA,0
20,Newton,11.25714286,27.7,5.242857143,0
20,Nicoll Highway,8.885714286,NA,NA,0
20,Pasir Panjang,8.171428571,28.48571429,7.914285714,0
20,Pasir Ris (Central),2.171428571,NA,NA,0
20,Pasir Ris (West),7.385714286,NA,NA,0
20,Paya Lebar,14.31428571,28.37142857,7.342857143,0
20,Pulau Ubin,7,27.76,17.72857143,0
21,Jurong (West),4.6,27.44285714,5.842857143,8
21,Jurong Island,14.82857143,28.2,7.114285714,0
21,Jurong Pier,9.685714286,NA,NA,0
21,Kent Ridge,10.71428571,NA,NA,0
21,Khatib,5.428571429,27.77142857,3.642857143,0
21,Kranji Reservoir,3.533333333,NA,NA,0
21,Lim Chu Kang,2.342857143,NA,NA,0
21,Lower Peirce Reservoir,8.6,NA,NA,0
21,Macritchie Reservoir,10,NA,NA,0
21,Mandai,4.8,NA,NA,0
21,Marina Barrage,2.4,29.2,4.533333333,0
21,Marine Parade,7.657142857,NA,NA,1
21,Newton,13.08571429,27.74285714,5.557142857,0
21,Nicoll Highway,9.942857143,NA,NA,0
21,Pasir Panjang,9.771428571,28.47142857,8.642857143,0
21,Pasir Ris (Central),8.714285714,NA,NA,0
21,Pasir Ris (West),9.371428571,NA,NA,0
21,Paya Lebar,11.18571429,28.62857143,7.128571429,0
21,Pulau Ubin,18.1,27.95,16.31666667,0
22,Jurong (West),19.51428571,27.17142857,5.442857143,10
22,Jurong (West),19.51428571,27.17142857,5.442857143,7
22,Jurong Island,12.42857143,28.18571429,6.071428571,0
22,Jurong Island,12.42857143,28.18571429,6.071428571,0
22,Jurong Pier,22.43333333,NA,NA,0
22,Jurong Pier,22.43333333,NA,NA,0
22,Kent Ridge,19.77142857,NA,NA,0
22,Kent Ridge,19.77142857,NA,NA,0
22,Khatib,11.31428571,27.55714286,3.085714286,0
22,Khatib,11.31428571,27.55714286,3.085714286,0
22,Kranji Reservoir,10.54285714,NA,NA,0
22,Kranji Reservoir,10.54285714,NA,NA,0
22,Lim Chu Kang,9.6,NA,NA,0
22,Lim Chu Kang,9.6,NA,NA,0
22,Lower Peirce Reservoir,19.97142857,NA,NA,0
22,Lower Peirce Reservoir,19.97142857,NA,NA,0
22,Macritchie Reservoir,15.34285714,NA,NA,0
22,Macritchie Reservoir,15.34285714,NA,NA,0
22,Mandai,14.62857143,NA,NA,0
22,Mandai,14.62857143,NA,NA,0
22,Marina Barrage,9.95,28.5,4.675,0
22,Marina Barrage,9.95,28.5,4.675,0
22,Marine Parade,9.228571429,NA,NA,1
22,Marine Parade,9.228571429,NA,NA,0
22,Newton,11.11428571,27.6,4.942857143,0
22,Newton,11.11428571,27.6,4.942857143,0
22,Nicoll Highway,8.371428571,NA,NA,0
22,Nicoll Highway,8.371428571,NA,NA,0
22,Pasir Panjang,19.97142857,28.25714286,7.614285714,0
22,Pasir Panjang,19.97142857,28.25714286,7.614285714,0
22,Pasir Ris (Central),13.71428571,NA,NA,1
22,Pasir Ris (Central),13.71428571,NA,NA,5
22,Pasir Ris (West),13.91428571,NA,NA,0
22,Pasir Ris (West),13.91428571,NA,NA,0
22,Paya Lebar,17.01428571,28.25714286,6.371428571,0
22,Paya Lebar,17.01428571,28.25714286,6.371428571,0
22,Pulau Ubin,16.66666667,26.55,15.41666667,0
22,Pulau Ubin,16.66666667,26.55,15.41666667,0
23,Jurong (West),0.228571429,29.35714286,7.628571429,3
23,Jurong Island,1.542857143,29.67142857,10.04285714,0
23,Jurong Pier,0.942857143,NA,NA,0
23,Kent Ridge,1.485714286,NA,NA,0
23,Khatib,0.171428571,29.12857143,4.157142857,0
23,Kranji Reservoir,0.114285714,NA,NA,0
23,Lim Chu Kang,0.066666667,NA,NA,0
23,Lower Peirce Reservoir,1.657142857,NA,NA,0
23,Macritchie Reservoir,3.542857143,NA,NA,2
23,Mandai,1.4,NA,NA,0
23,Marina Barrage,0.885714286,30.26,5.028571429,0
23,Marine Parade,0.742857143,NA,NA,1
23,Newton,5.914285714,29.22857143,8.857142857,0
23,Nicoll Highway,1.342857143,NA,NA,0
23,Pasir Panjang,1.971428571,29.97142857,9.214285714,0
23,Pasir Ris (Central),0.114285714,NA,NA,7
23,Pasir Ris (West),0.566666667,NA,NA,0
23,Paya Lebar,2.814285714,30.1,9.971428571,0
23,Pulau Ubin,2.085714286,28.78333333,17.42857143,0
24,Jurong (West),3.857142857,28.64285714,7.914285714,0
24,Jurong Island,2.971428571,29.15714286,9.828571429,0
24,Jurong Pier,7.4,NA,NA,0
24,Kent Ridge,1.2,NA,NA,0
24,Khatib,8.4,28.2,4.114285714,0
24,Kranji Reservoir,1.971428571,NA,NA,0
24,Lim Chu Kang,9.88,NA,NA,0
24,Lower Peirce Reservoir,4.342857143,NA,NA,0
24,Macritchie Reservoir,0.742857143,NA,NA,0
24,Mandai,4.457142857,NA,NA,0
24,Marina Barrage,2.285714286,29.54285714,5.471428571,0
24,Marine Parade,2.8,NA,NA,0
24,Newton,0.571428571,28.6,8.271428571,0
24,Nicoll Highway,2.657142857,NA,NA,0
24,Pasir Panjang,0.942857143,29.52857143,8.742857143,0
24,Pasir Ris (Central),0.257142857,NA,NA,10
24,Pasir Ris (West),2.714285714,NA,NA,0
24,Paya Lebar,0.257142857,29.22857143,9.814285714,2
24,Pulau Ubin,3.514285714,28.01428571,15.12857143,0
25,Jurong (West),10.68571429,26.87142857,7.142857143,1
25,Jurong Island,16.65714286,27.95714286,8.285714286,0
25,Jurong Pier,10.23333333,NA,NA,0
25,Kent Ridge,8.485714286,NA,NA,0
25,Khatib,9.228571429,27.02857143,3.742857143,0
25,Kranji Reservoir,7.68,NA,NA,0
25,Lim Chu Kang,11.82857143,NA,NA,0
25,Lower Peirce Reservoir,11.62857143,NA,NA,0
25,Macritchie Reservoir,4,NA,NA,0
25,Mandai,4.6,NA,NA,0
25,Marina Barrage,4,28.36666667,5.7,0
25,Marine Parade,2.485714286,NA,NA,0
25,Newton,8.571428571,27.18571429,7.185714286,0
25,Nicoll Highway,8.885714286,NA,NA,0
25,Pasir Panjang,4.8,28.17142857,9.1,0
25,Pasir Ris (Central),6.542857143,NA,NA,0
25,Pasir Ris (West),8.657142857,NA,NA,0
25,Paya Lebar,4.414285714,27.81428571,8.585714286,1
25,Pulau Ubin,11.02857143,26.81428571,17.02857143,0
26,Jurong (West),19.62857143,26.31428571,6.171428571,3
26,Jurong Island,9.857142857,26.98571429,8.7,0
26,Jurong Pier,27.6,NA,NA,0
26,Kent Ridge,26.34285714,NA,NA,0
26,Khatib,10.48571429,26.02857143,3.085714286,0
26,Kranji Reservoir,10.6,NA,NA,0
26,Lim Chu Kang,16.8,NA,NA,0
26,Lower Peirce Reservoir,14.05714286,NA,NA,0
26,Macritchie Reservoir,15.15,NA,NA,0
26,Mandai,13.77142857,NA,NA,0
26,Marina Barrage,11.36,26.975,5.76,0
26,Marine Parade,6.742857143,NA,NA,0
26,Newton,10.31428571,26.47142857,7.2,0
26,Nicoll Highway,10.65714286,NA,NA,0
26,Pasir Panjang,17.68571429,27.37142857,9.214285714,0
26,Pasir Ris (Central),4.828571429,NA,NA,3
26,Pasir Ris (West),3.685714286,NA,NA,0
26,Paya Lebar,5.442857143,27.14285714,9.014285714,3
26,Pulau Ubin,8.457142857,26.05714286,16.1,0
27,Jurong (West),0.914285714,28.12857143,8.2,2
27,Jurong Island,2.428571429,28.4,10.04285714,0
27,Jurong Pier,2.8,NA,NA,0
27,Kent Ridge,1.228571429,NA,NA,0
27,Khatib,3.685714286,27.72857143,4.542857143,0
27,Kranji Reservoir,3.966666667,NA,NA,0
27,Lim Chu Kang,1.3,NA,NA,0
27,Lower Peirce Reservoir,10.22857143,NA,NA,0
27,Macritchie Reservoir,1.514285714,NA,NA,0
27,Mandai,5.571428571,NA,NA,0
27,Marina Barrage,0.3,28.9,6.1,0
27,Marine Parade,1.1,NA,NA,2
27,Newton,0.257142857,27.9,8.685714286,0
27,Nicoll Highway,0.371428571,NA,NA,0
27,Pasir Panjang,0.285714286,28.78571429,9.342857143,0
27,Pasir Ris (Central),8.542857143,NA,NA,1
27,Pasir Ris (West),8.714285714,NA,NA,0
27,Paya Lebar,9.728571429,28.65714286,10.65714286,3
27,Pulau Ubin,10.68571429,27.41428571,16.3,0
28,Jurong (West),2.542857143,27.9,9.057142857,0
28,Jurong Island,4.085714286,28.21428571,10.84285714,0
28,Jurong Pier,4.6,NA,NA,0
28,Kent Ridge,5.314285714,NA,NA,0
