,population
26/1/1964,1843077
2/2/1964,1843957
9/2/1964,1844836
16/2/1964,1845715
23/2/1964,1846594
1/3/1964,1847473
8/3/1964,1848353
15/3/1964,1849232
22/3/1964,1850111
29/3/1964,1850990
5/4/1964,1851870
12/4/1964,1852749
19/4/1964,1853628
26/4/1964,1854507
3/5/1964,1855387
10/5/1964,1856266
17/5/1964,1857145
24/5/1964,1858024
31/5/1964,1858904
7/6/1964,1859783
14/6/1964,1860662
21/6/1964,1861541
28/6/1964,1862420
5/7/1964,1863300
12/7/1964,1864179
19/7/1964,1865058
26/7/1964,1865937
2/8/1964,1866817
9/8/1964,1867696
16/8/1964,1868575
23/8/1964,1869454
30/8/1964,1870334
6/9/1964,1871213
13/9/1964,1872092
20/9/1964,1872971
27/9/1964,1873850
4/10/1964,1874730
11/10/1964,1875609
18/10/1964,1876488
25/10/1964,1877367
1/11/1964,1878247
8/11/1964,1879126
15/11/1964,1880005
22/11/1964,1880884
29/11/1964,1881764
6/12/1964,1882643
13/12/1964,1883522
20/12/1964,1884401
27/12/1964,1885281
3/1/1965,1886160
10/1/1965,1887039
17/1/1965,1887918
24/1/1965,1888797
31/1/1965,1889677
7/2/1965,1890556
14/2/1965,1891435
21/2/1965,1892314
28/2/1965,1893194
7/3/1965,1894073
14/3/1965,1894952
21/3/1965,1895831
28/3/1965,1896711
4/4/1965,1897590
11/4/1965,1898469
18/4/1965,1899348
25/4/1965,1900227
2/5/1965,1901107
9/5/1965,1901986
16/5/1965,1902865
23/5/1965,1903744
30/5/1965,1904624
6/6/1965,1905503
13/6/1965,1906382
20/6/1965,1907261
27/6/1965,1908141
4/7/1965,1909020
11/7/1965,1909899
18/7/1965,1910778
25/7/1965,1911658
1/8/1965,1912537
8/8/1965,1913416
15/8/1965,1914295
22/8/1965,1915174
29/8/1965,1916054
5/9/1965,1916933
12/9/1965,1917812
19/9/1965,1918691
26/9/1965,1919571
3/10/1965,1920450
10/10/1965,1921329
17/10/1965,1922208
24/10/1965,1923088
31/10/1965,1923967
7/11/1965,1924846
14/11/1965,1925725
21/11/1965,1926604
28/11/1965,1927484
5/12/1965,1928363
12/12/1965,1929242
19/12/1965,1930121
26/12/1965,1931001
2/1/1966,1931880
9/1/1966,1932759
16/1/1966,1933638
23/1/1966,1934518
30/1/1966,1935397
6/2/1966,1936276
13/2/1966,1937155
20/2/1966,1938035
27/2/1966,1938914
6/3/1966,1939793
13/3/1966,1940672
20/3/1966,1941551
27/3/1966,1942431
3/4/1966,1943310
10/4/1966,1944189
17/4/1966,1945068
24/4/1966,1945948
1/5/1966,1946827
8/5/1966,1947706
15/5/1966,1948585
22/5/1966,1949465
29/5/1966,1950344
5/6/1966,1951223
12/6/1966,1952102
19/6/1966,1952981
26/6/1966,1953861
3/7/1966,1954740
10/7/1966,1955619
17/7/1966,1956498
24/7/1966,1957378
31/7/1966,1958257
7/8/1966,1959136
14/8/1966,1960015
21/8/1966,1960895
28/8/1966,1961774
4/9/1966,1962653
11/9/1966,1963532
18/9/1966,1964412
25/9/1966,1965291
2/10/1966,1966170
9/10/1966,1967049
16/10/1966,1967928
23/10/1966,1968808
30/10/1966,1969687
6/11/1966,1970566
13/11/1966,1971445
20/11/1966,1972325
27/11/1966,1973204
4/12/1966,1974083
11/12/1966,1974962
18/12/1966,1975842
25/12/1966,1976721
1/1/1967,1977600
8/1/1967,1978255
15/1/1967,1978910
22/1/1967,1979565
29/1/1967,1980220
5/2/1967,1980875
12/2/1967,1981530
19/2/1967,1982185
26/2/1967,1982840
5/3/1967,1983495
12/3/1967,1984151
19/3/1967,1984806
26/3/1967,1985461
2/4/1967,1986116
9/4/1967,1986771
16/4/1967,1987426
23/4/1967,1988081
30/4/1967,1988736
7/5/1967,1989391
14/5/1967,1990046
21/5/1967,1990701
28/5/1967,1991356
4/6/1967,1992011
11/6/1967,1992666
18/6/1967,1993321
25/6/1967,1993976
2/7/1967,1994631
9/7/1967,1995286
16/7/1967,1995941
23/7/1967,1996597
30/7/1967,1997252
6/8/1967,1997907
13/8/1967,1998562
20/8/1967,1999217
27/8/1967,1999872
3/9/1967,2000527
10/9/1967,2001182
17/9/1967,2001837
24/9/1967,2002492
1/10/1967,2003147
8/10/1967,2003802
15/10/1967,2004457
22/10/1967,2005112
29/10/1967,2005767
5/11/1967,2006422
12/11/1967,2007077
19/11/1967,2007732
26/11/1967,2008387
3/12/1967,2009043
10/12/1967,2009698
17/12/1967,2010353
24/12/1967,2011008
31/12/1967,2011663
7/1/1968,2012318
14/1/1968,2012973
21/1/1968,2013628
28/1/1968,2014283
4/2/1968,2014938
11/2/1968,2015593
18/2/1968,2016248
25/2/1968,2016903
3/3/1968,2017558
10/3/1968,2018213
17/3/1968,2018868
24/3/1968,2019523
31/3/1968,2020178
7/4/1968,2020833
14/4/1968,2021489
21/4/1968,2022144
28/4/1968,2022799
5/5/1968,2023454
12/5/1968,2024109
19/5/1968,2024764
26/5/1968,2025419
2/6/1968,2026074
9/6/1968,2026729
16/6/1968,2027384
23/6/1968,2028039
30/6/1968,2028694
7/7/1968,2029349
14/7/1968,2030004
21/7/1968,2030659
28/7/1968,2031314
4/8/1968,2031969
11/8/1968,2032624
18/8/1968,2033279
25/8/1968,2033934
1/9/1968,2034590
8/9/1968,2035245
15/9/1968,2035900
22/9/1968,2036555
29/9/1968,2037210
6/10/1968,2037865
13/10/1968,2038520
20/10/1968,2039175
27/10/1968,2039830
3/11/1968,2040485
10/11/1968,2041140
17/11/1968,2041795
24/11/1968,2042450
1/12/1968,2043105
8/12/1968,2043760
15/12/1968,2044415
22/12/1968,2045070
29/12/1968,2045725
5/1/1969,2046380
12/1/1969,2047036
19/1/1969,2047691
26/1/1969,2048346
2/2/1969,2049001
9/2/1969,2049656
16/2/1969,2050311
23/2/1969,2050966
2/3/1969,2051621
9/3/1969,2052276
16/3/1969,2052931
23/3/1969,2053586
30/3/1969,2054241
6/4/1969,2054896
13/4/1969,2055551
20/4/1969,2056206
27/4/1969,2056861
4/5/1969,2057516
11/5/1969,2058171
18/5/1969,2058826
25/5/1969,2059482
1/6/1969,2060137
8/6/1969,2060792
15/6/1969,2061447
22/6/1969,2062102
29/6/1969,2062757
6/7/1969,2063412
13/7/1969,2064067
20/7/1969,2064722
27/7/1969,2065377
3/8/1969,2066032
10/8/1969,2066687
17/8/1969,2067342
24/8/1969,2067997
31/8/1969,2068652
7/9/1969,2069307
14/9/1969,2069962
21/9/1969,2070617
28/9/1969,2071272
5/10/1969,2071928
12/10/1969,2072583
19/10/1969,2073238
26/10/1969,2073893
2/11/1969,2074548
9/11/1969,2075203
16/11/1969,2075858
23/11/1969,2076513
30/11/1969,2077168
7/12/1969,2077823
14/12/1969,2078478
21/12/1969,2079133
28/12/1969,2079788
4/1/1970,2080443
11/1/1970,2081098
18/1/1970,2081753
25/1/1970,2082408
1/2/1970,2083063
8/2/1970,2083718
15/2/1970,2084374
22/2/1970,2085029
1/3/1970,2085684
8/3/1970,2086339
15/3/1970,2086994
22/3/1970,2087649
